Complaint_ID,Complaint_Text,Category,Department,State,City,Submission_Date,Status,Priority,Pending_Days,Resolution_Date,Escalated,Feedback_Rating
IND-CMP-0001,My welfare scheme application has remained pending for 103 days.,Welfare Scheme,Social Welfare Department,Uttar Pradesh,Visakhapatnam,2024-06-10,In Progress,High,103,,0,
IND-CMP-0002,My welfare scheme application has remained pending for 4 days.,Welfare Scheme,Social Welfare Department,Karnataka,Chennai,2025-07-29,In Progress,Low,4,,0,
IND-CMP-0003,Drainage blockage is causing water accumulation in the locality for 44 days.,Drainage,Municipal Engineering Department,Rajasthan,Bhopal,2025-02-24,Resolved,Medium,0,2025-03-25,0,2
IND-CMP-0004,Garbage collection has been irregular for 100 days and waste is accumulating.,Sanitation,Municipal Sanitation Department,Kerala,Jaipur,2025-12-12,Pending,High,100,,0,
IND-CMP-0005,The drainage system needs cleaning because wastewater is not flowing properly.,Drainage,Municipal Engineering Department,Bihar,Patna,2026-03-25,Resolved,High,0,2026-06-06,0,4
IND-CMP-0006,Repeated power-related service interruptions have affected residents for 12 days.,Electricity,Electricity Department,Tamil Nadu,Kochi,2024-09-25,Escalated,Low,12,,1,
IND-CMP-0007,Repeated power-related service interruptions have affected residents for 88 days.,Electricity,Electricity Department,West Bengal,Bhopal,2026-04-07,Resolved,High,0,2026-05-31,0,4
IND-CMP-0008,Several public street lights are not functioning and require maintenance.,Street Lighting,Municipal Engineering Department,Tamil Nadu,Kochi,2025-04-08,Resolved,Low,0,2025-04-18,0,5
IND-CMP-0009,Street electricity infrastructure in our area has not been functioning properly for 79 days.,Electricity,Electricity Department,Andhra Pradesh,Mumbai,2025-02-07,In Progress,High,79,,0,
IND-CMP-0010,Public transport service is irregular and commuters are facing repeated delays.,Public Transport,Transport Department,Karnataka,Jaipur,2024-09-07,In Progress,Low,19,,0,
IND-CMP-0011,My welfare scheme application has remained pending for 18 days.,Welfare Scheme,Social Welfare Department,Bihar,Hyderabad,2024-07-22,Pending,Low,18,,0,
IND-CMP-0012,There has been a delay in processing my requested government certificate.,Certificates,Revenue Department,Uttar Pradesh,Mumbai,2025-04-18,Resolved,High,0,2025-04-28,0,3
